Bitstring,Count
'01011111100100000000',1
'01011111111111111110',3
'01100000001000000000',1
'01100000101111111110',1
'01100001011111111110',1
'01100001111111111110',1
'01100001111111111111',1
'01100101000000000000',1
'01100101111111111111',1
'01100110111111111111',1
'01100111000000000001',1
'01101011111110110001',1
'01101100111110111110',1
'01101101100000001001',1
'01101111111110101111',1
'01110000000000111110',1
'01110001000000000000',1
'01110001000000000001',1
'01110010111111101111',1
'01110011111110111111',1
'01110011111111000001',1
'01110011111111101111',1
'01110101011111111111',1
'01110101111111111111',1
'01110111111111101111',1
'01110111111111111111',3
'01111000000000000010',1
'01111000111111111111',1
'01111001111111111111',2
'01111010111111111111',1
'01111011011111111111',1
'01111011111111111111',2
'01111101000000000000',1
'01111101000000000001',1
'01111101110111111111',1
'01111101111111111110',1
'01111101111111111111',1
'01111110111111111111',3
'01111111000111111110',1
'01111111010000000101',1
'01111111011111111111',1
'01111111101111111111',1
'01111111110100011111',1
'01111111110111111110',2
'01111111111100000001',1
'01111111111101101110',1
'01111111111111011111',1
'01111111111111101110',2
'01111111111111101111',1
'01111111111111111110',6
'01111111111111111111',22
'10000000000000000000',17
'10000000000000000001',1
'10000000000000110000',1
'10000000001000000001',1
'10000000100000000000',1
'10000001000000000000',1
'10000001001111101111',1
'10000010000000000000',2
'10000010000000001000',1
'10000010000000001001',1
'10000010011111111110',1
'10000011100000000000',1
'10000100000000000000',1
'10000101111110111111',1
'10000110100000001000',1
'10000110111111111110',1
'10000111111111101111',1
'10000111111111111110',1
'10001000000000000000',1
'10001000000000001000',1
'10001001110000000000',1
'10001001111111111111',1
'10001010111111111110',1
'10001100000000000000',2
'10001100000000000001',1
'10001100011110111111',1
'10001101111111111110',1
'10001110011011011110',1
'10001110110000000001',1
'10001111100010111111',1
'10001111111110000000',1
'10001111111111111111',1
'10010000000000001000',1
'10010000000000010000',1
'10010000111000001010',1
'10010000111111101110',1
'10010000111111111111',1
'10010001111111111111',1
'10010010000101111110',1
'10010100000000001000',1
'10010110111000000000',1
'10011000000001111110',1
'10011001111111111111',1
'10011010000000001000',1
'10011011011111111111',1
'10011011110000000001',1
'10011101000000011110',1
'10011101111111111111',1
'10011111111111111110',1
'10100000000000000001',2
'10100000110000001000',1
'10100011111111111111',1
'10100100000000001001',1
'10100101111111111111',1
'10100110000000000001',1
'10101000001000001001',1
'10101000011111101111',1
'10101000101101111111',1
'10101010000000000001',1
'10101111111111101111',1
'10101111111111111111',3
'10110010000000000001',1
'10110011110111111111',1
'10110101001000000000',1
'10110110011110101110',1
'10111000000000000001',3
'10111001111111111111',1
'10111100100000000001',1
'10111110000111110111',1
'10111110111111111011',1
'10111111011111111111',1
'10111111101111011111',1
'10111111101111111111',1
'10111111111011111111',1
'10111111111110111111',2
'10111111111111110011',1
'10111111111111111011',1
'10111111111111111110',1
'10111111111111111111',9
'11000000000000000000',6
'11000000000000000001',1
'11000000011111111110',1
'11000000100000000000',1
'11000000111010111111',1
'11000001111111111111',1
'11000011100000001000',1
'11000011110111111110',1
