Bitstring,Count
'01100111111111111111',1
'01101001011000111100',1
'01101001100111111110',1
'01101100111111100001',1
'01101110000000001111',1
'01101110100000000000',1
'01101111101111011101',1
'01101111111111111111',1
'01110000111111111111',1
'01110001111111110111',1
'01110001111111111101',1
'01110010100000000010',1
'01110010111111111110',1
'01110011001010000001',1
'01110011111111111101',1
'01110101111111111110',1
'01110110000000001110',1
'01110110111111111110',1
'01110111100000000010',1
'01110111101111111110',1
'01110111111111111100',1
'01110111111111111111',1
'01111000000000000000',1
'01111000111110111110',1
'01111001111110111111',1
'01111011000000000010',1
'01111011111010111111',1
'01111011111111110111',1
'01111011111111111111',2
'01111101111111101111',1
'01111101111111111111',1
'01111110000000000010',1
'01111110100000000011',1
'01111110111111110110',1
'01111110111111111110',1
'01111110111111111111',1
'01111111000000000001',1
'01111111010000000000',1
'01111111100000000111',1
'01111111101111111001',1
'01111111110110001110',1
'01111111110111111111',1
'01111111111101111100',1
'01111111111110000000',1
'01111111111110000011',1
'01111111111110111110',2
'01111111111111011110',1
'01111111111111100001',1
'01111111111111101011',1
'01111111111111101110',2
'01111111111111101111',4
'01111111111111111110',4
'01111111111111111111',4
'10000000000000000000',4
'10000000000000000010',2
'10000000000000000110',1
'10000000001000000010',1
'10000000011111011111',1
'10000000011111110101',1
'10000000011111111111',1
'10000000100000000001',1
'10000000100000010001',1
'10000000101000000000',1
'10000001000000000001',1
'10000001100000000000',1
'10000010000000000000',1
'10000010000000000001',1
'10000010111111111101',1
'10000100000000000000',1
'10000100000000001000',1
'10001000000000000000',2
'10001000000100000001',1
'10001001000000000000',1
'10001001100000000011',1
'10001010000000000000',1
'10001010000000000010',1
'10001100000000000000',1
'10001100000000000001',1
'10001100000000001001',1
'10001100011110000001',1
'10001110111111110111',1
'10001111111111111111',1
'10010000000000000001',1
'10010000100000000000',1
'10010001110111111111',1
'10010001111111111111',1
'10010011011111111111',1
'10010011110010111110',1
'10010011111111111111',1
'10010110000000000011',1
'10010110011011000000',1
'10010110100000010001',1
'10011000111111111111',1
'10011001000000000000',1
'10011001000000000001',1
'10011001111111110111',1
'10011010111111111111',2
'10011101111111111100',1
'10011110001100111111',1
'10011111011111111101',1
'10011111011111111111',1
'10100000011111111111',1
